; 初始场景，以及特效演示
bgm:使一颗心免于哀伤.mp3;
unlockBgm:使一颗心免于哀伤.mp3 -name=使一颗心免于哀伤;
changeBg:StarRail_Image_1719051963.png -next;
unlockCg:StarRail_Image_1719051963.png -name=天台; // 解锁CG并赋予名称
changeFigure:bgsub_liuying.png -left -next;
setAnimation:enter-from-left -target=fig-left -next;
流萤:你听过这首歌吗，《使一颗心免于哀伤》，那位知更鸟的作品。谐乐大典在即，梦境中也偶尔会奏响她的音乐。;
流萤: 这里是离梦境中的天空最近的地方，远离城市的喧嚣，也没有筑梦师的争吵，;
可以不被任何人打扰，感受当下——当下的风景，人，还有梦……;
多美啊……时光永远停驻在这黄金的时刻，一场金色的梦。酒馆的愚者和忆庭的忆者，流浪的游侠和公司的使节，星穹列车的无名客……和我。;
changeFigure:none -left -next;
changeFigure:Bgsub_xing.png -right -next;
星:……;
changeFigure:none -right -next;
changeFigure:bgsub_liuying.png -left -next;
流萤:所有人在这里平等的睡去，无论缘由，尽管我们确实各怀目的……;
对不起，星，我的确是一个偷渡犯;
changeFigure:none -left -next;
changeFigure:Bgsub_xing.png -right -next;
星:我知道。;
changeFigure:none -right -next;
changeFigure:bgsub_liuying.png -left -next;
流萤:果然瞒不住你呀。;
我的故乡在很久以前就毁灭了，也许是军团干的，也可能是虫群……我是个星际难民，就和匹诺康尼的许多本地人一样。;
同谐包容所有的人，也包括那些远道而来的漂泊者。家族接纳他们，但他们……终究不属于这里。;
在这座金碧辉煌的大都会中，有些人的梦名为匹诺康尼，而有些人的梦……却和现实无异，尽管每一个来到这里的普通人，最初都怀抱着相同的目的。;
我也一样，现实里的我有着求而不得的愿望——它太过强烈，因此我诉诸梦境……;
changeFigure:none -left -next;
changeFigure:Bgsub_xing.png -right -next;
星:是什么愿望？;
changeFigure:none -right -next;
changeFigure:bgsub_liuying.png -left -next;
流萤:……失熵症。你听说过这个词吗？;
是一种奇怪的现象。罹患这种病症的人，物理结构会陷入不可逆的慢性解离。这意味着你正在慢慢消失，而这种消失在旁人眼中甚至难以察觉……;
你依旧能跑、能跳、能和他人交流。一切看起来都那么正常，只不过你总是比别人慢一点点……;
……然后越来越慢，越来越慢，直到自己和整个世界的轮廓都变得模糊不清。你分不清现实和梦境，因为它们变得同样破碎。;
所以，我该如何拒绝呢……你能想象吗？在这场梦境里，我竟然可以……可以不用待在冰冷的医疗仓里……;
我可以将医生的话抛在脑后，用自己的身体，随心所欲的去听、去看、去触碰、去思考、去领会。尽管这个世界并不真实，但这感受却无比珍贵……;
对不起，因为一些原因……我现在还不能向你全盘托出。但也有些事，我应该对你坦诚。;
钟表匠的遗产固然是我的所求，但我们未必要分道扬镳，走向对立，至少……我不希望这种事发生。;
changeFigure:none -left -next;
changeFigure:Bgsub_xing.png -right -next;
星:我也希望如此。;
changeFigure:none -right -next;
changeFigure:bgsub_liuying.png -left -next;
流萤:……谢谢你。;
intro: 我梦见一片焦土，一株破土而生的新蕊，它迎着朝阳绽放，向我低语呢喃。 -hold;
流萤:还记得邀请函上的问题吗——生命因何而沉睡？;
你看，在这片梦想之地，一切都被允许，一切都有可能。不堪回首的过去像泡沫一样散去，不愿面对的明天也永远不会到来。;
人为何选择沉眠？我想……是因为害怕从梦中醒来。;
intro: …… -hold;
流萤:气氛突然变得好沉重……抱歉，不该这样的，让我想想……怎么活跃气氛比较好？;
对了——你在列车上有很多朋友，你们平时遇到这种情况是怎么做的？;
changeFigure:none -left -next;
changeFigure:Bgsub_xing.png -right -next;
星:三月会拉着我们一起自拍。;
changeFigure:none -right -next;
changeFigure:bgsub_liuying.png -left -next;
流萤:自拍，自拍……你说得对，我来这里好多次了，怎么没想到拍张照片呢？;
不过对着自己一个人……总有些不习惯，要一起吗？就当是留个纪念。;
changeFigure:none -left -next;
changeFigure:Bgsub_xing.png -right -next;
星:好啊。;
changeFigure:bgsub_liuying.png -left -next;
流萤:我有点怕镜头，别笑话我哦。来……你拿着吧。;
:女孩将手机递给了你，眼神里满是期待。;
:你接过手机，呼出相机应用，切换摄像头。一气呵成。然后，你伸直胳膊，将手机拿远，确保取景框中能够容纳下你们二人。;
流萤:稍等，让我准备一下……;
:女孩微微侧头，露出了一个甜美的笑容。;
流萤:……好了！开始吧。;
一……;
二……;
茄子——！;
changeFigure:none -left -next;
changeFigure:none -right -next;
changeBg:aa.jpg ;
; // 解锁CG并赋予名称
unlockCg:aa.jpg -name=合照 -series=1;
changeBg:StarRail_Image_1719051963.png -next;
end;


